No.,문항,구분
36,친구들은 내가 활기차고 외향적인 사람이라고 말할 것이다.,16 Personalities
37,글쓰기 등 창의성을 표현하는 다양한 형태의 활동에 관심이 있다.,16 Personalities
38,일반적으로 감정보다는 객관적인 사실에 기반해 결정을 내린다.,16 Personalities
39,매일 할 일을 계획하는 것이 좋다.,16 Personalities
40,불안함을 느끼는 경우는 드물다.,16 Personalities
41,전화를 거는 일은 피하려고 한다.,16 Personalities
42,생소한 아이디어와 관점을 탐구하는 것을 좋아한다.,16 Personalities
43,방금 만난 사람과도 쉽게 친해질 수 있다.,16 Personalities
44,계획에 차질이 생기는 경우에는 최대한 신속하게 원래 계획대로 진행하는 것을 최우선으로 한다.,16 Personalities
45,오래전의 실수에 대해 여전히 후회하곤 한다.,16 Personalities
46,미래의 세상이 어떤 모습일지에 대해 이론적으로 논의하는 것에는 크게 관심이 없다.,16 Personalities
47,감정을 통제하기보다는 감정에 휘둘리곤 한다.,16 Personalities
48,결정을 내릴 때는 가장 논리적이고 효율적인 결정보다는 관련자들의 감정에 집중한다.,16 Personalities
49,계획에 따라 일관성 있게 업무를 진행하기보다는 즉흥적인 에너지로 업무를 몰아서 처리하는 편이다.,16 Personalities
50,상대방이 나를 높게 평가하면 나중에 상대방이 실망하게 될까 걱정하곤 한다.,16 Personalities
51,대부분의 시간을 혼자서 일할 수 있는 직업을 원한다.,16 Personalities
52,추상적인 철학적 질문에 대해 깊게 생각하는 것은 시간 낭비라고 생각한다.,16 Personalities
53,조용하고 사적인 장소보다는 사람들로 붐비고 떠들썩한 장소에 마음이 더 끌린다.,16 Personalities
54,어떤 결정이 옳다고 생각하면 추가적인 근거 없이 행동으로 옮기는 경우가 많다.,16 Personalities
55,강한 압박감을 느끼는 경우가 많다.,16 Personalities
56,단계를 건너뛰지 않고 체계적으로 일을 완수한다.,16 Personalities
57,구체적인 단계를 따르기보다는 창의적인 해결책을 생각해 내야 하는 작업을 선호한다.,16 Personalities
58,결정을 내릴 때 논리적인 추론보다는 감정적인 직관에 더 의지하는 경향이 있다.,16 Personalities
59,마감 기한을 지키기가 힘들다.,16 Personalities
60,모든 일이 잘 풀릴 것이라는 자신감이 있다.,16 Personalities
61,나는 걱정이 많은 편이다.,Big Five
62,나는 쉽게 친구를 사귀는 편이다.,Big Five
63,나는 상상력이 풍부한 편이다.,Big Five
64,나는 다른 사람들을 신뢰하는 편이다.,Big Five
65,나는 일을 제대로 끝 마치는 편이다.,Big Five
66,나는 쉽게 화를 내는 편이다.,Big Five
67,나는 다른 사람들이 많은 파티를 좋아하는 편이다.,Big Five
68,나는 예술이 중요하다고 믿는 편이다.,Big Five
69,나는 내 목적을 위해 다른 사람들을 이용하는 편이다.,Big Five
70,나는 정리하는 것을 좋아하는 편이다.,Big Five
71,나는 종종 우울함을 느끼는 편이다.,Big Five
72,나는 리더로서 자질을 가졌다고 생각하는 편이다.,Big Five
73,나는 종종 감정에 지배당하는 편이다.,Big Five
74,나는 남을 돕는 것을 좋아하는 편이다.,Big Five
75,나는 약속을 잘 지키는 편이다.,Big Five
76,나는 다른 사람에게 다가가는 것을 어려워하는 편이다.,Big Five
77,나는 항상 바쁜 편이다.,Big Five
78,나는 틀에 박히지 않은 것을 좋아하는 편이다.,Big Five
79,나는 건강한 논쟁을 즐기는 편이다.,Big Five
80,나는 열심히 일하는 편이다.,Big Five
81,나는 폭식을 하는 편이다.,Big Five
82,나는 신나는 걸 좋아하는 편이다.,Big Five
83,나는 도전적인 자료를 읽는 것을 좋아하는 편이다.,Big Five
84,나는 내가 다른 사람보다 낫다고 믿는 편이다.,Big Five
85,나는 항상 준비되어있는 편이다.,Big Five
86,나는 공황 상태에 쉽게 빠지는 편이다.,Big Five
87,"나는 기쁠 때, 티내는 편이다.",Big Five
88,나는 진보적인 정치가에게 투표하는 경향이 있는 편이다.,Big Five
89,나는 노숙자들에게 동정을 느끼는 편이다.,Big Five
90,나는 앞뒤 생각 없이 뛰어드는 경향이 있는 편이다.,Big Five
91,나는 안 좋은 일에 대해 두려워하는 편이다.,Big Five
92,"나는 다른 사람들 주변에 있을 때, 편안함을 느끼는 편이다.",Big Five
93,나는 공상의 나래를 즐기는 편이다.,Big Five
94,나는 다른 사람들이 좋은 의도를 가지고 있다고 믿는 편이다.,Big Five
95,나는 내가 하는 일에 대해 남들보다 뛰어난 편이다.,Big Five
96,나는 쉽게 짜증을 내는 편이다.,Big Five
97,나는 파티에서 많은 다른 사람들과 이야기를 하는 편이다.,Big Five
98,나는 다른 사람들이 알아차리지 못하는 것에서 아름다움을 보는 편이다.,Big Five
99,나는 원하는 것을 얻기 위해 부정 행위를 하는 편이다.,Big Five
100,나는 물건을 제자리에 놓는 것을 종종 잊어버리는 편이다.,Big Five
101,나는 내 자신을 싫어하는 편이다.,Big Five
102,나는 다른 사람들을 이끄려고 노력하는 편이다.,Big Five
103,나는 다른 사람들의 감정에 공감하는 편이다.,Big Five
104,나는 다른 사람들을 걱정하는 편이다.,Big Five
105,나는 진실대로 말하는 편이다.,Big Five
106,나는 나에 대해 관심을 가지는 것을 두려워하는 편이다.,Big Five
107,나는 언제나 바쁘게 움직이는 편이다.,Big Five
108,나는 내가 아는 것에 생각하는 것을 선호하는 편이다.,Big Five
109,나는 다른 사람들에게 호통치는 편이다.,Big Five
110,나는 내게 기대했던 것 보다 더 많은 일을 하는 편이다.,Big Five
111,나는 과식을 하지 않는 편이다.,Big Five
112,나는 무언가 색다른 일을 찾아 다니는 편이다.,Big Five
113,나는 철학적인 논쟁을 피하는 편이다.,Big Five
114,나는 내 자신을 높게 평가하는 편이다.,Big Five
115,나는 내 계획들을 잘 실행하는 편이다.,Big Five
116,나는 어떤 일 때문에 어쩔 줄 모르게 되는 편이다.,Big Five
117,나는 재미있는 사람인 편이다.,Big Five
118,나는 절대적으로 옮고 그름은 없다고 믿는 편이다.,Big Five
119,나는 나보다 가난한 사람에게 동정을 느끼는 편이다.,Big Five
120,나는 성급하게 결정을 내리는 편이다.,Big Five
121,나는 많은 것들을 두려워하는 편이다.,Big Five
122,나는 다른 사람들과 접촉을 피하는 편이다.,Big Five
123,나는 몽상을 좋아하는 편이다.,Big Five
124,나는 다른 사람들이 말하는 것을 믿는 편이다.,Big Five
125,나는 일을 매끄럽게 처리하는 편이다.,Big Five
126,나는 화가날 때 평정을 유지하기 어려운 편이다.,Big Five
127,나는 혼자 있는게 더 좋은 편이다.,Big Five
128,나는 시를 좋아하지 않는 편이다.,Big Five
129,나는 다른 사람들을 이용하는 편이다.,Big Five
130,나는 내 방을 어지르는 편이다.,Big Five
131,나는 자주 의기소침하는 편이다.,Big Five
132,나는 일을 내가 원하는대로 추진하려고 하는 편이다.,Big Five
133,나는 내 감정에 대해 둔한 편이다.,Big Five
134,나는 다른 사람들의 감정에 대해 무관심한 편이다.,Big Five
135,나는 규칙을 어기는 편이다.,Big Five
136,나는 친구들과 함께 있을 때 편안함을 느끼는 편이다.,Big Five
137,나는 여가 시간에 많은 것을 하는 편이다.,Big Five
138,나는 변화가 싫은 편이다.,Big Five
139,나는 다른 사람들을 욕하는 편이다.,Big Five
140,나는 그럭 저럭 살아갈 만큼 일하는 편이다.,Big Five
141,나는 유혹에 잘 빠져들지 않는 편이다.,Big Five
142,나는 앞 뒤 재지 않고 행동하는 편이다.,Big Five
143,나는 추상적인 개념을 이해하는 것이 어려운 편이다.,Big Five
144,나는 나 자신이 괜찮은 사람이라 생각하는 편이다.,Big Five
145,나는 내 시간을 낭비하는 편이다.,Big Five
146,나는 내가 일을 감당할 수 없다고 느끼는 편이다.,Big Five
147,나는 살아있는게 좋은 편이다.,Big Five
148,나는 보수적인 정치인에게 투표하는 경향이 있는 편이다.,Big Five
149,나는 남들의 문제에 관심이 없는 편이다.,Big Five
150,나는 서둘러 일을 처리하는 편이다.,Big Five
151,나는 쉽게 스트레스를 받는 편이다.,Big Five
152,나는 남과 거리를 두는 편이다.,Big Five
153,나는 사색에 잠기는 것을 즐기는 편이다.,Big Five
154,나는 다른 사람들을 잘 믿지 않는 편이다.,Big Five
155,나는 일을 어떻게 해나가야하는지 잘 아는 편이다.,Big Five
156,나는 쉽게 짜증 내지 않는 편이다.,Big Five
157,나는 다른 사람들이 많은 곳을 피하는 편이다.,Big Five
158,나는 미술관에 가는 것을 좋아하지 않는 편이다.,Big Five
159,나는 다른 사람들의 계획을 방해하는 편이다.,Big Five
160,나는 내 물건을 잘 잃어버리는 편이다.,Big Five
161,나는 내 자신에 대해 편안함을 느끼는 편이다.,Big Five
162,나는 남들이 앞서길 기다리는 편이다.,Big Five
163,나는 감정적인 사람들이 이해 못 하는 편이다.,Big Five
164,나는 남을 위해 시간을 들이지 않는 편이다.,Big Five
165,나는 약속을 어기는 편이다.,Big Five
166,나는 어려운 사회 상황에 개의치 않는 편이다.,Big Five
167,나는 느긋하게 지내는 것을 좋아하는 편이다.,Big Five
168,나는 전통적인 방식에 대해 애착을 가지고 있는 편이다.,Big Five
169,나는 당한 것에 대해 남들에게 (앙)갚는 편이다.,Big Five
170,나는 내 일에 시간과 노력을 들이지 않는 편이다.,Big Five
171,나는 내 갈망을 조절 할 수 있는 편이다.,Big Five
172,나는 미친 듯이 행동하는 편이다.,Big Five
173,나는 이론적인 토론에 대해 관심이 없는 편이다.,Big Five
174,나는 내 선행에 대해 자랑하는 편이다.,Big Five
175,나는 작업을 시작하는데 어려움이 있는 편이다.,Big Five
176,나는 중압감 속에서 침착함을 유지하는 편이다.,Big Five
177,나는 인생을 긍정적으로 바라보는 편이다.,Big Five
178,나는 우리가 범죄에 엄격해야한다고 믿는 편이다.,Big Five
179,나는 가난한 사람에 대해 별로 생각하고 싶지 않아하는 편이다.,Big Five
180,나는 별 생각 없이 행동하는 편이다.,Big Five
181,나는 나의 모든 작업에서 정확성과 정밀성을 위해 노력한다.,Enneagram
182,나는 내 작업의 가장 작은 불일치와 오류까지도 알아차린다.,Enneagram
183,나는 긴박한 마감 기한에도 높은 기준을 유지할 수 있다.,Enneagram
184,나는 내 작업이 필요한 기준을 충족하는지 자주 확인한다.,Enneagram
185,시스템 또는 프로세스를 개선하고 다듬는 것이 나의 우선순위이다.,Enneagram
186,나는 실수가 발생할 때 나 자신이나 다른 사람에게 비판적일 수 있다.,Enneagram
187,작업을 완료하기 전에 모든 세부 사항이 올바르다고 확인하는 것은 나에게 중요하다.,Enneagram
188,나는 종종 이미 효율적이라고 여겨지는 방식을 개선할 방법을 찾는다.,Enneagram
189,피드백을 받았을 때 나는 개선 방식을 이해하기 위한 세부 내용에 집중한다.,Enneagram
190,"내 업무 환경은 정돈되어 있으며, 모든 것이 지정된 위치에 있다.",Enneagram
191,나는 다른 사람의 이익을 위해 오류를 정정할 강한 책임감을 느낀다.,Enneagram
192,나는 종종 다른 사람들이 실수를 찾고 고치는 데 의지하는 사람이다.,Enneagram
193,나는 누군가 감정적인 지원을 필요로 할 때 자연스럽게 알아차린다.,Enneagram
194,나는 대가를 바라지 않고 다른 사람을 적극적으로 돕는다.,Enneagram
195,다른 사람들이 관심받는다고 느끼게 하는 것은 내 관계의 우선순위이다.,Enneagram
196,나는 친밀하고 개인적인 관계를 구축하고 유지하는 것이 쉽다.,Enneagram
197,나는 종종 다른 사람의 필요를 나의 필요보다 우선으로 여긴다.,Enneagram
198,나는 다른 사람들을 향해 애정과 관심을 편하게 표현한다.,Enneagram
199,내 행복은 내가 사랑하는 사람들의 행복과 밀접한 연관이 있다.,Enneagram
200,위로나 조언을 찾는 사람들이 종종 나를 찾아온다.,Enneagram
201,다른 사람을 돕는 것은 내가 가치 있다고 느끼며 충족된다고 느끼게 한다.,Enneagram
202,내 기여에 대한 감사를 받는 것이 나에게 중요하다.,Enneagram
203,목표를 설정하고 성취하는 것은 내가 성공을 정의하는 방식의 근본적인 부분이다.,Enneagram
204,나는 내 야망과 성공을 위한 열망에 이끌린다.,Enneagram
205,나는 내 성취를 인정받는 것이 즐겁다.,Enneagram
206,나는 적응력이 뛰어나고 다양한 업무와 역할에서 뛰어난 성과를 보인다.,Enneagram
207,나는 효율성과 생산성을 개선할 방법을 꾸준히 찾는다.,Enneagram
208,동료들로부터 성공적이라는 평가를 듣는 것이 나에게 중요한 동기 부여 요소가 된다.,Enneagram
209,나는 현재의 목표가 달성되면 적극적으로 새로운 목표를 만들고 추구한다.,Enneagram
210,나는 더 효과적으로 목표를 달성할 수 있는 경우에 내 접근 방식을 조정한다.,Enneagram
211,내 창의력은 종종 내 감정적인 경험에 의해 유발된다.,Enneagram
212,나는 업무 또는 예술적 시도에서 나의 개성을 표현해야 한다.,Enneagram
213,나는 아름다움에 매료되며 나에게 영감을 주는 아름다움으로 나를 둘러싼다.,Enneagram
214,나는 무언가 새로운 것을 만들 때 살아있음을 가장 강하게 느낀다.,Enneagram
215,나의 개인적인 스타일은 나의 고유한 정체성을 반영한다.,Enneagram
216,나는 종종 다른 사람들이 간과할 수 있는 부분에서 창의적인 영감을 얻는다.,Enneagram
217,나는 내 창의성에 자신이 있으며 나의 고유한 시각을 믿는다.,Enneagram
218,나는 나의 창의적인 프로젝트를 다듬고 강화하기 위해 적극적으로 피드백을 구한다.,Enneagram
219,나는 상황에 개입하기 전에 관찰 및 분석하는 것을 선호한다.,Enneagram
220,나는 정보에 입각한 결정을 내리기 위해 데이터를 수집하고 분석한다.,Enneagram
221,나는 철저한 분석과 연구를 통해 복잡한 문제를 해결하는 것을 즐긴다.,Enneagram
222,나는 문제를 완전히 조사하기 전까지는 내 통찰력을 공유하는 데 신중하다.,Enneagram
223,나는 나의 흥미 또는 전문 영역의 깊이와 복잡성에 가치를 둔다.,Enneagram
224,나는 사심 없이 상황이나 문제를 분석할 수 있다.,Enneagram
225,나는 종종 일의 작동 방식을 이해하기 위해 기본 원리 또는 패턴을 찾는다.,Enneagram
226,사생활과 혼자 생각할 시간은 나에게 필수적이다.,Enneagram
227,나는 사회적 상호작용보다 아이디어와 개념에 더 흥미를 느낀다.,Enneagram
228,나는 잠재적인 위험을 경계하고 언제나 만일의 사태에 대비한다.,Enneagram
229,나는 내 환경과 관계에서 안전과 안정을 추구한다.,Enneagram
230,나는 특히 내가 신뢰하는 사람들에게 충성심이 높고 헌신적이다.,Enneagram
231,나는 결정을 내리기 전에 일어날 수 있는 모든 결과와 위험을 고려한다.,Enneagram
232,나는 역할에 안정감을 느끼기 위해 명확한 지침과 기대를 선호한다.,Enneagram
233,나는 때때로 잘못된 선택을 하는 것이 두려워서 조치를 취하기를 망설인다.,Enneagram
234,예측 가능성과 틀이 안정감을 주기 때문에 나는 이를 가치 있게 여긴다.,Enneagram
235,나는 종종 진행하기 전에 다른 사람의 조언이나 확신을 구한다.,Enneagram
236,나는 변화를 수용하고 새로운 상황에 쉽게 적응한다.,Enneagram
237,나는 종종 삶을 흥미롭게 만들어주는 새롭고 흥미로운 경험을 찾는다.,Enneagram
238,일상의 작업은 창의적으로 참여할 방법을 찾기 위한 기회가 된다.,Enneagram
239,나는 현재의 상황에 빠르게 지루함을 느끼며 혁신적인 방법을 찾는다.,Enneagram
240,너무 멀리까지 계획하는 것은 나를 제한하는 것처럼 느껴진다. 즉흥적인 것을 선호한다.,Enneagram
241,나는 낙관적이며 어려운 상황에서도 주로 희망을 찾을 수 있다.,Enneagram
242,나는 나에게 자유를 주고 선택할 능력을 주는 환경에서 성취한다.,Enneagram
243,나는 즉각적인 대처와 예상치 못한 변화를 최대한 활용하는 데 능숙하다.,Enneagram
244,새로운 아이디어와 프로젝트는 시행이나 마무리보다 나를 더 기대하게 한다.,Enneagram
245,나는 한 가지 행동 방침에 집착하기보다는 여러 선택지를 열어두는 것을 선호한다.,Enneagram
246,세계를 탐구하며 경험하는 것이 나의 가장 높은 우선순위이다.,Enneagram
247,나는 상황을 주도하며 의사 결정에 자신이 있다.,Enneagram
248,나는 확신에 찬 상태로 내 의견을 표현하고 입장을 취한다.,Enneagram
249,내가 사랑하는 사람들을 보호하는 것은 나 자신을 옹호하는 것만큼 중요하다.,Enneagram
250,나는 대립이 두렵지 않으며 갈등을 정면으로 맞선다.,Enneagram
251,나는 그룹에서 자연스럽게 리더 역할을 차지한다.,Enneagram
252,불평등 또는 불공평은 나를 움직이게 만든다. 나는 내 소신을 말해야 한다.,Enneagram
253,"나는 다른 사람의 강점을 존중하며, 확신에 찬 사람에게 끌린다.",Enneagram
254,나는 자립적이며 내 능력에 의지하는 것을 선호한다.,Enneagram
255,나는 힘을 가지고 변화를 위해 이 힘을 사용하는 것을 좋아한다.,Enneagram
256,나는 관계와 환경에서 조화를 유지하기 위해 노력한다.,Enneagram
257,나는 종종 문제의 다양한 측면을 보면서 의견 충돌을 중재하려 한다.,Enneagram
258,긴장과 갈등을 피하는 것이 문제를 해결하는 것보다 더 편할 때가 있다.,Enneagram
259,나는 논의에서 모든 사람의 의견이 존중받고 참여하고 있다고 느낄 수 있도록 노력한다.,Enneagram
260,나는 다른 사람들이 공통점과 타협점을 찾는 것을 돕는 데 능통하다.,Enneagram
261,평화로운 해결책은 논쟁에서 이기는 것보다 중요하다.,Enneagram
262,나는 종종 친구 사이 또는 직장 내에서 중재자가 된다.,Enneagram
263,나는 내 견해를 표현하기 전에 모든 견해를 듣고 이해하는 것을 선호한다.,Enneagram
264,나는 갈등의 가능성이 있으면 의사 결정을 내리기 어렵다.,Enneagram
265,나는 종종 문제를 일으키는 것을 피하기 위해 대세를 따른다.,Enneagram
266,나는 갈등이 거의 없는 차분하고 평온한 환경을 가치 있게 여긴다.,Enneagram
267,나는 그룹의 조화를 위해 내 선호를 기꺼이 타협할 수 있다.,Enneagram
268,갈등이 억울함 없이 평화롭게 해결되는 것이 나에게 중요하다.,Enneagram
269,나는 때때로 내 관계에서 평화를 유지하기 위해 내 자신의 필요를 과소평가한다.,Enneagram
270,나는 모든 사람을 만족시킬 수 있는 해결책을 찾기 위해 의견 충돌에 접근한다.,Enneagram
271,나는 관계를 유지하는 것이 논쟁에서 이기는 것보다 중요하다고 생각한다.,Enneagram
272,나는 다른 사람을 지원하고 응원하기 위한 방법을 적극적으로 모색한다.,Enneagram
273,다른 사람이 나를 잘 돕고 친절한 사람으로 여기는 것이 나에게 중요하다.,Enneagram
274,나는 종종 누군가 도움을 요청하기 전에 돕는다.,Enneagram
275,나의 기분은 내 주변 사람들의 감정 상태에 영향을 받는다.,Enneagram
276,나는 다른 사람의 삶에 도움이 될 때 강한 만족감을 느낀다.,Enneagram
277,다른 사람이 나를 필요로 하는 것은 나에게 목적 의식을 부여한다.,Enneagram
278,나는 내가 도움이 되고 변화를 줄 수 있는 관계를 우선시한다.,Enneagram
279,나는 내 친구와 가족의 필요에 빠르게 대응한다.,Enneagram
280,나는 종종 다른 사람의 행복을 나의 행복보다 우선으로 여긴다.,Enneagram
281,불확실한 상황에서도 결정하는 것이 어렵지 않다.,성격 검사
282,종종 팀의 일을 담당한다.,성격 검사
283,나의 관점과 의견을 주장하기가 쉽다고 생각한다.,성격 검사
284,프로젝트와 팀을 이끄는 것을 즐긴다.,성격 검사
285,보통 결단력이 있고 행동을 먼저 한다.,성격 검사
286,일이 일어나기를 기다리기보다는 주도적으로 행동하는 것을 선호한다.,성격 검사
287,목표를 달성하기 위해 위험을 감수하는 것을 두려워하지 않는다.,성격 검사
288,장애를 피하기보다는 극복하려 애쓴다.,성격 검사
289,필요하다면 강하게 따지고 주장을 내세울 수 있다.,성격 검사
290,보통 소통할 때 직설적이고 간결하다.,성격 검사
291,결과와 성취에 사로잡힌다.,성격 검사
292,경쟁과 도전을 즐긴다.,성격 검사
293,빠른 속도로 일하는 것을 선호한다.,성격 검사
294,독립적이고 자립적이다.,성격 검사
295,문제 해결 능력에 자신감이 있다.,성격 검사
296,나 자신의 운명을 통제하는 것을 좋아한다.,성격 검사
297,갈등과 충돌을 편하게 대한다.,성격 검사
298,나 자신과 타인에 대한 기대치가 높다.,성격 검사
299,야심과 의욕이 있다.,성격 검사
300,목표를 달성하는 데 확고하고 집요하다.,성격 검사
301,집중하여 효과적으로 일을 마무리한다.,성격 검사
302,압박감을 잘 다룰 수 있다.,성격 검사
303,자주 현재 상황에 도전한다.,성격 검사
304,책임지고 일을 맡는 것을 즐긴다.,성격 검사
305,보통 솔직하고 거리낌 없다.,성격 검사
306,사람을 사귀고 교류하는 것을 즐긴다.,성격 검사
307,열광적이고 긍정적이다.,성격 검사
308,타인에게 영감을 주고 동기를 부여하는 것을 좋아한다.,성격 검사
309,관심의 중심에 있기를 즐긴다.,성격 검사
310,외향적이고 표현을 잘한다.,성격 검사
311,다른 사람을 쉽게 설득할 수 있다.,성격 검사
312,팀과 협력하며 일하는 것을 즐긴다.,성격 검사
313,내 감정을 표현하는 데 편하다.,성격 검사
314,새로운 사람들을 만나는 것을 좋아한다.,성격 검사
315,말을 잘하고 매력이 있는 편이다.,성격 검사
316,타인과의 관계와 소통을 소중하게 여긴다.,성격 검사
317,친밀한 관계를 잘 맺는다.,성격 검사
318,다양한 사회적 상황에 적응하고 유연하게 대처한다.,성격 검사
319,천성적으로 명랑하고 친절하다.,성격 검사
320,삶을 긍정적으로 전망한다.,성격 검사
321,다른 사람이 편안하게 느끼게 할 수 있다.,성격 검사
322,사람들에게 영감을 주고 동기를 부여할 수 있다.,성격 검사
323,많은 사람이 모이는 곳에서 편안함을 느낀다.,성격 검사
324,보통 힘이 넘치고 활기차다.,성격 검사
325,아이디어와 프로젝트 홍보를 잘한다.,성격 검사
326,사람들에게 즐거움과 웃음을 주는 것을 즐긴다.,성격 검사
327,표현을 잘하며 편하게 생각을 공유한다.,성격 검사
328,보통 모임에서 분위기 메이커이다.,성격 검사
329,사람과의 관계를 발전시키는 것을 즐긴다.,성격 검사
330,타인에게 영향을 주고 설득하는 기술이 있다.,성격 검사
331,압박감 속에서 인내심과 차분함을 지킨다.,성격 검사
332,나는 믿고 신뢰할 만한 사람이다.,성격 검사
333,변화와 불확실성보다 안정감과 틀을 선호한다.,성격 검사
334,타인을 지지하고 돌본다.,성격 검사
335,다른 이의 말을 잘 들어준다.,성격 검사
336,스트레스를 받는 상황에서 매우 침착하다.,성격 검사
337,조화와 협력을 소중하게 여긴다.,성격 검사
338,의리 있고 신의 있다.,성격 검사
339,팀 안에서 일을 잘한다.,성격 검사
340,타인의 필요와 감정에 민감하다.,성격 검사
341,느리고 일정한 속도로 일하는 것을 선호한다.,성격 검사
342,사람들과의 관계를 오래 잘 유지한다.,성격 검사
343,예상할 수 있고 조직이 있는 환경을 선호한다.,성격 검사
344,대립과 충돌을 피하는 편이다.,성격 검사
345,습관을 일정하게 계속 유지한다.,성격 검사
346,타인이 편하게 느끼고 지지받고 있다는 느끼도록 잘한다.,성격 검사
347,친절하고 인정이 많다.,성격 검사
348,경쟁보다 협동을 소중히 여긴다.,성격 검사
349,틀과 일정을 잘 따른다.,성격 검사
350,타인을 수용하고 포용한다.,성격 검사
351,안전성과 예측 가능성을 소중히 여긴다.,성격 검사
352,꼼꼼히 업무를 잘 완료한다.,성격 검사
353,드러나지 않게 일하는 것이 편하다.,성격 검사
354,타인을 잘 인내한다.,성격 검사
355,평화와 조화를 유지하는 것을 선호한다.,성격 검사
356,세세한 부분에 신경을 쓴다.,성격 검사
357,정확도와 정밀도를 소중히 여긴다.,성격 검사
358,행동하기 전에 신중하게 생각하는 편이다.,성격 검사
359,규칙과 절차를 따른다.,성격 검사
360,정리 정돈을 잘한다.,성격 검사
361,분석적이고 논리적이다.,성격 검사
362,세심하게 업무를 계획하고 일정을 정한다.,성격 검사
363,나는 책임감이 있고 신뢰할 만한 사람이다.,성격 검사
364,일할 때 완벽해지고자 노력한다.,성격 검사
365,규율을 지키고 신중하다.,성격 검사
366,데이터와 사실을 다루는 일이 편하다.,성격 검사
367,독립적으로 일하는 것을 선호한다.,성격 검사
368,체계적이고 조직적이다.,성격 검사
369,내게 주어진 책임을 중요하게 생각한다.,성격 검사
370,문제점 분석을 잘한다.,성격 검사
371,구조화된 업무와 명확한 지시를 선호한다.,성격 검사
372,질서와 틀을 소중히 여긴다.,성격 검사
373,철두철미하고 세밀하다.,성격 검사
374,항상 작업을 다시 확인한다.,성격 검사
375,정확하고 정밀하게 하는 업무를 선호한다.,성격 검사
376,비판하고 평가하는 편이다.,성격 검사
377,계획을 세우고 업무를 정리하는 것을 잘한다.,성격 검사
378,문제 해결과 분석적인 업무를 즐긴다.,성격 검사
379,책무와 약속을 철저히 이행한다.,성격 검사
380,결정하고 행동하는 데 신중하고 조심스럽다.,성격 검사
381,나는 대화 중 핵심적인 것을 빨리 얘기한다.,LCSI
382,나는 활동적이지 못하다.,LCSI
383,나는 무엇이든 직선적으로 표현한다.,LCSI
384,나는 어려움을 잘 참고 견딘다.,LCSI
